what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1338085800515
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1338085800531
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1338085800546
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1338085800562
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1338085800562
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1338085800562
os,sysinfo,,,"win32",1338085800562
arch,sysinfo,,,"x86",1338085800562
ws,sysinfo,,,"win32",1338085800562
locale,sysinfo,,,"en_US",1338085800562
processors,sysinfo,,,"4",1338085800562
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338085800562
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1338085800562
java.specification.name,sysinfo,,,"Java Platform API Specification",1338085800562
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338085800562
java.specification.version,sysinfo,,,"1.6",1338085800562
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1338085800562
java.version,sysinfo,,,"1.6.0_31",1338085800562
java.vm.info,sysinfo,,,"mixed mode",1338085800562
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1338085800562
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338085800562
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338085800562
java.vm.specification.version,sysinfo,,,"1.0",1338085800562
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1338085800562
java.vm.version,sysinfo,,,"20.6-b01",1338085800562
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1338085800640
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1338085801515
